vtkOriginalIndices,Structured Coordinates:0,Structured Coordinates:1,Structured Coordinates:2,Cell Type,EulerAngles:0,EulerAngles:1,EulerAngles:2,FeatureIds,GBEuclideanDistances,IPFColor:0,IPFColor:1,IPFColor:2,Phases,QPEuclideanDistances,TJEuclideanDistances,__vtkIsSelected__
0,0,0,0,11,4.35352,0.436289,2.35,1,4.05,255,20,233,1,-1,5.43737,0
1,1,0,0,11,4.35352,0.436289,2.35,1,3.6,255,20,233,1,-1,5.26711,0
2,2,0,0,11,4.35352,0.436289,2.35,1,3.15,255,20,233,1,-1,5.13079,0
3,3,0,0,11,4.35352,0.436289,2.35,1,2.7,255,20,233,1,-1,5.03115,0
4,4,0,0,11,4.35352,0.436289,2.35,1,2.25,255,20,233,1,-1,4.97041,0
5,5,0,0,11,4.35352,0.436289,2.35,1,1.8,255,20,233,1,-1,4.95,0
6,6,0,0,11,4.35352,0.436289,2.35,1,1.35,255,20,233,1,-1,4.97041,0
7,7,0,0,11,4.35352,0.436289,2.35,1,0.9,255,20,233,1,-1,5.03115,0
8,8,0,0,11,4.35352,0.436289,2.35,1,0.45,255,20,233,1,-1,5.13079,0
9,9,0,0,11,4.35352,0.436289,2.35,1,0,255,20,233,1,-1,5.26711,0
10,10,0,0,11,5.18605,0.570747,1.84487,3,0,202,255,186,1,-1,5.43737,0
11,11,0,0,11,5.18605,0.570747,1.84487,3,0.45,202,255,186,1,-1,5.63848,0
12,12,0,0,11,5.18605,0.570747,1.84487,3,0.9,202,255,186,1,-1,5.86728,0
13,13,0,0,11,5.18605,0.570747,1.84487,3,1.35,202,255,186,1,-1,6.12066,0
14,14,0,0,11,5.18605,0.570747,1.84487,3,1.8,202,255,186,1,-1,6.3957,0
15,15,0,0,11,5.18605,0.570747,1.84487,3,2.25,202,255,186,1,-1,6.68973,0
16,16,0,0,11,5.18605,0.570747,1.84487,3,2.7,202,255,186,1,-1,7.00036,0
17,17,0,0,11,5.18605,0.570747,1.84487,3,3.15,202,255,186,1,-1,7.32547,0
18,18,0,0,11,5.18605,0.570747,1.84487,3,3.6,202,255,186,1,-1,7.66322,0
19,19,0,0,11,5.18605,0.570747,1.84487,3,4.05,202,255,186,1,-1,8.01202,0
20,20,0,0,11,5.18605,0.570747,1.84487,3,4.5,202,255,186,1,-1,8.37048,0
21,0,1,0,11,4.35352,0.436289,2.35,1,3.62802,255,20,233,1,-1,5.03115,0
22,1,1,0,11,4.35352,0.436289,2.35,1,3.18198,255,20,233,1,-1,4.84665,0
23,2,1,0,11,4.35352,0.436289,2.35,1,2.73724,255,20,233,1,-1,4.69814,0
24,3,1,0,11,4.35352,0.436289,2.35,1,2.29456,255,20,233,1,-1,4.58912,0
25,4,1,0,11,4.35352,0.436289,2.35,1,1.8554,255,20,233,1,-1,4.52244,0
26,5,1,0,11,4.35352,0.436289,2.35,1,1.42302,255,20,233,1,-1,4.5,0
27,6,1,0,11,4.35352,0.436289,2.35,1,1.00623,255,20,233,1,-1,4.52244,0
28,7,1,0,11,4.35352,0.436289,2.35,1,0.636396,255,20,233,1,-1,4.58912,0
29,8,1,0,11,4.35352,0.436289,2.35,1,0.45,255,20,233,1,-1,4.69814,0
30,9,1,0,11,4.35352,0.436289,2.35,1,0,255,20,233,1,-1,4.84665,0
31,10,1,0,11,5.18605,0.570747,1.84487,3,0,202,255,186,1,-1,5.03115,0
32,11,1,0,11,5.18605,0.570747,1.84487,3,0.45,202,255,186,1,-1,5.24786,0
33,12,1,0,11,5.18605,0.570747,1.84487,3,0.9,202,255,186,1,-1,5.49295,0
34,13,1,0,11,5.18605,0.570747,1.84487,3,1.35,202,255,186,1,-1,5.76281,0
35,14,1,0,11,5.18605,0.570747,1.84487,3,1.8,202,255,186,1,-1,6.05413,0
36,15,1,0,11,5.18605,0.570747,1.84487,3,2.25,202,255,186,1,-1,6.36396,0
37,16,1,0,11,5.18605,0.570747,1.84487,3,2.7,202,255,186,1,-1,6.68973,0
38,17,1,0,11,5.18605,0.570747,1.84487,3,3.15,202,255,186,1,-1,7.02922,0
39,18,1,0,11,5.18605,0.570747,1.84487,3,3.6,202,255,186,1,-1,7.38055,0
40,19,1,0,11,5.18605,0.570747,1.84487,3,4.05,202,255,186,1,-1,7.74209,0
41,20,1,0,11,5.18605,0.570747,1.84487,3,4.5,202,255,186,1,-1,8.11249,0
42,0,2,0,11,4.35352,0.436289,2.35,1,3.6,255,20,233,1,-1,4.63303,0
43,1,2,0,11,4.35352,0.436289,2.35,1,3.15,255,20,233,1,-1,4.43199,0
44,2,2,0,11,4.35352,0.436289,2.35,1,2.7,255,20,233,1,-1,4.26907,0
45,3,2,0,11,4.35352,0.436289,2.35,1,2.25,255,20,233,1,-1,4.1488,0
46,4,2,0,11,4.35352,0.436289,2.35,1,1.8,255,20,233,1,-1,4.07492,0
47,5,2,0,11,4.35352,0.436289,2.35,1,1.35,255,20,233,1,-1,4.05,0
48,6,2,0,11,4.35352,0.436289,2.35,1,0.9,255,20,233,1,-1,4.07492,0
49,7,2,0,11,4.35352,0.436289,2.35,1,0.45,255,20,233,1,-1,4.1488,0
50,8,2,0,11,4.35352,0.436289,2.35,1,0,255,20,233,1,-1,4.26907,0
51,9,2,0,11,5.18605,0.570747,1.84487,3,0,202,255,186,1,-1,4.43199,0
52,10,2,0,11,5.18605,0.570747,1.84487,3,0.45,202,255,186,1,-1,4.63303,0
53,11,2,0,11,5.18605,0.570747,1.84487,3,0.9,202,255,186,1,-1,4.86749,0
54,12,2,0,11,5.18605,0.570747,1.84487,3,1.35,202,255,186,1,-1,5.13079,0
55,13,2,0,11,5.18605,0.570747,1.84487,3,1.8,202,255,186,1,-1,5.41872,0
56,14,2,0,11,5.18605,0.570747,1.84487,3,2.25,202,255,186,1,-1,5.72756,0
57,15,2,0,11,5.18605,0.570747,1.84487,3,2.7,202,255,186,1,-1,6.05413,0
58,16,2,0,11,5.18605,0.570747,1.84487,3,3.15,202,255,186,1,-1,6.3957,0
59,17,2,0,11,5.18605,0.570747,1.84487,3,3.6,202,255,186,1,-1,6.75,0
60,18,2,0,11,5.18605,0.570747,1.84487,3,4.05,202,255,186,1,-1,7.11512,0
61,19,2,0,11,5.18605,0.570747,1.84487,3,4.5,202,255,186,1,-1,7.48949,0
62,20,2,0,11,5.18605,0.570747,1.84487,3,4.95,202,255,186,1,-1,7.87178,0
63,0,3,0,11,4.35352,0.436289,2.35,1,3.18198,255,20,233,1,-1,4.24529,0
64,1,3,0,11,4.35352,0.436289,2.35,1,3.15,255,20,233,1,-1,4.02492,0
65,2,3,0,11,4.35352,0.436289,2.35,1,2.7,255,20,233,1,-1,3.8448,0
66,3,3,0,11,4.35352,0.436289,2.35,1,2.25,255,20,233,1,-1,3.71079,0
67,4,3,0,11,4.35352,0.436289,2.35,1,1.8,255,20,233,1,-1,3.62802,0
68,5,3,0,11,4.35352,0.436289,2.35,1,1.35,255,20,233,1,-1,3.6,0
69,6,3,0,11,4.35352,0.436289,2.35,1,0.9,255,20,233,1,-1,3.62802,0
70,7,3,0,11,4.35352,0.436289,2.35,1,0.45,255,20,233,1,-1,3.71079,0
71,8,3,0,11,4.35352,0.436289,2.35,1,0,255,20,233,1,-1,3.8448,0
72,9,3,0,11,5.18605,0.570747,1.84487,3,0,202,255,186,1,-1,4.02492,0
73,10,3,0,11,5.18605,0.570747,1.84487,3,0.45,202,255,186,1,-1,4.24529,0
74,11,3,0,11,5.18605,0.570747,1.84487,3,0.9,202,255,186,1,-1,4.5,0
75,12,3,0,11,5.18605,0.570747,1.84487,3,1.35,202,255,186,1,-1,4.78357,0
76,13,3,0,11,5.18605,0.570747,1.84487,3,1.8,202,255,186,1,-1,5.09117,0
77,14,3,0,11,5.18605,0.570747,1.84487,3,2.25,202,255,186,1,-1,5.41872,0
78,15,3,0,11,5.18605,0.570747,1.84487,3,2.7,202,255,186,1,-1,5.76281,0
79,16,3,0,11,5.18605,0.570747,1.84487,3,3.15,202,255,186,1,-1,6.12066,0
80,17,3,0,11,5.18605,0.570747,1.84487,3,3.6,202,255,186,1,-1,6.48999,0
81,18,3,0,11,5.18605,0.570747,1.84487,3,4.05,202,255,186,1,-1,6.86895,0
82,19,3,0,11,5.18605,0.570747,1.84487,3,4.5,202,255,186,1,-1,7.25603,0
83,20,3,0,11,5.18605,0.570747,1.84487,3,4.95,202,255,186,1,-1,7.65,0
84,0,4,0,11,4.35352,0.436289,2.35,1,2.73724,255,20,233,1,-1,3.87105,0
85,1,4,0,11,4.35352,0.436289,2.35,1,3.15,255,20,233,1,-1,3.62802,0
86,2,4,0,11,4.35352,0.436289,2.35,1,2.7,255,20,233,1,-1,3.4271,0
87,3,4,0,11,4.35352,0.436289,2.35,1,2.25,255,20,233,1,-1,3.27605,0
88,4,4,0,11,4.35352,0.436289,2.35,1,1.8,255,20,233,1,-1,3.18198,0
89,5,4,0,11,4.35352,0.436289,2.35,1,1.35,255,20,233,1,-1,3.15,0
90,6,4,0,11,4.35352,0.436289,2.35,1,0.9,255,20,233,1,-1,3.18198,0
91,7,4,0,11,4.35352,0.436289,2.35,1,0.45,255,20,233,1,-1,3.27605,0
92,8,4,0,11,4.35352,0.436289,2.35,1,0,255,20,233,1,-1,3.4271,0
93,9,4,0,11,5.18605,0.570747,1.84487,3,0,202,255,186,1,-1,3.62802,0
94,10,4,0,11,5.18605,0.570747,1.84487,3,0.45,202,255,186,1,-1,3.87105,0
95,11,4,0,11,5.18605,0.570747,1.84487,3,0.9,202,255,186,1,-1,4.1488,0
96,12,4,0,11,5.18605,0.570747,1.84487,3,1.35,202,255,186,1,-1,4.45477,0
97,13,4,0,11,5.18605,0.570747,1.84487,3,1.8,202,255,186,1,-1,4.78357,0
98,14,4,0,11,5.18605,0.570747,1.84487,3,2.25,202,255,186,1,-1,5.13079,0
99,15,4,0,11,5.18605,0.570747,1.84487,3,2.7,202,255,186,1,-1,5.49295,0
100,16,4,0,11,5.18605,0.570747,1.84487,3,3.15,202,255,186,1,-1,5.86728,0
101,17,4,0,11,5.18605,0.570747,1.84487,3,3.6,202,255,186,1,-1,6.2516,0
102,18,4,0,11,5.18605,0.570747,1.84487,3,4.05,202,255,186,1,-1,6.64417,0
103,19,4,0,11,5.18605,0.570747,1.84487,3,4.5,202,255,186,1,-1,7.04361,0
104,20,4,0,11,5.18605,0.570747,1.84487,3,4.95,202,255,186,1,-1,7.44883,0
105,0,5,0,11,4.35352,0.436289,2.35,1,2.29456,255,20,233,1,-1,3.51461,0
106,1,5,0,11,4.35352,0.436289,2.35,1,2.7,255,20,233,1,-1,3.245,0
107,2,5,0,11,4.35352,0.436289,2.35,1,2.7,255,20,233,1,-1,3.01869,0
108,3,5,0,11,4.35352,0.436289,2.35,1,1.8554,255,20,233,1,-1,2.84605,0
109,4,5,0,11,4.35352,0.436289,2.35,1,1.42302,255,20,233,1,-1,2.73724,0
110,5,5,0,11,4.35352,0.436289,2.35,1,1.00623,255,20,233,1,-1,2.7,0
111,6,5,0,11,4.35352,0.436289,2.35,1,0.636396,255,20,233,1,-1,2.73724,0
112,7,5,0,11,4.35352,0.436289,2.35,1,0.45,255,20,233,1,-1,2.84605,0
113,8,5,0,11,4.35352,0.436289,2.35,1,0,255,20,233,1,-1,3.01869,0
114,9,5,0,11,5.18605,0.570747,1.84487,3,0,202,255,186,1,-1,3.245,0
115,10,5,0,11,5.18605,0.570747,1.84487,3,0.45,202,255,186,1,-1,3.51461,0
116,11,5,0,11,5.18605,0.570747,1.84487,3,0.9,202,255,186,1,-1,3.81838,0
117,12,5,0,11,5.18605,0.570747,1.84487,3,1.35,202,255,186,1,-1,4.1488,0
118,13,5,0,11,5.18605,0.570747,1.84487,3,1.8,202,255,186,1,-1,4.5,0
119,14,5,0,11,5.18605,0.570747,1.84487,3,2.25,202,255,186,1,-1,4.86749,0
120,15,5,0,11,5.18605,0.570747,1.84487,3,2.7,202,255,186,1,-1,5.24786,0
121,16,5,0,11,5.18605,0.570747,1.84487,3,3.15,202,255,186,1,-1,5.63848,0
122,17,5,0,11,5.18605,0.570747,1.84487,3,3.6,202,255,186,1,-1,6.03738,0
123,18,5,0,11,5.18605,0.570747,1.84487,3,4.05,202,255,186,1,-1,6.44302,0
124,19,5,0,11,5.18605,0.570747,1.84487,3,4.5,202,255,186,1,-1,6.8542,0
125,20,5,0,11,5.18605,0.570747,1.84487,3,4.95,202,255,186,1,-1,7.26997,0
126,0,6,0,11,4.35352,0.436289,2.35,1,1.8554,255,20,233,1,-1,3.18198,0
127,1,6,0,11,4.35352,0.436289,2.35,1,2.25,255,20,233,1,-1,2.88141,0
128,2,6,0,11,4.35352,0.436289,2.35,1,2.25,255,20,233,1,-1,2.62393,0
129,3,6,0,11,4.35352,0.436289,2.35,1,1.8,255,20,233,1,-1,2.42332,0
