EulerAngles:0,EulerAngles:1,EulerAngles:2,FeatureIds,GBEuclideanDistances,IPFColor:0,IPFColor:1,IPFColor:2,Phases,QPEuclideanDistances,TJEuclideanDistances,Cell Type,vtkOriginalIndices,__vtkIsSelected__,Structured Coordinates:0,Structured Coordinates:1,Structured Coordinates:2
3.32961,0.710954,0.676732,203,2,144,102,255,1,4.3589,3,11,0,0,0,0,0
3.32961,0.710954,0.676732,203,1,144,102,255,1,3.74166,2,11,1,0,1,0,0
3.32961,0.710954,0.676732,203,0,144,102,255,1,3.31662,1,11,2,0,2,0,0
4.36533,2.82897,3.34782,23,0,255,176,105,1,3.16228,0,11,3,0,3,0,0
4.78951,2.39478,5.6753,263,0,123,137,255,1,5,1,11,4,0,4,0,0
4.78951,2.39478,5.6753,263,1,123,137,255,1,4.12311,2,11,5,0,5,0,0
4.78951,2.39478,5.6753,263,2,123,137,255,1,4.12311,3,11,6,0,6,0,0
4.78951,2.39478,5.6753,263,1,123,137,255,1,4,2.23607,11,7,0,7,0,0
4.78951,2.39478,5.6753,263,0,123,137,255,1,2.82843,2,11,8,0,8,0,0
5.37818,2.83968,2.1142,75,0,255,103,155,1,3,2.23607,11,9,0,9,0,0
5.37818,2.83968,2.1142,75,1,255,103,155,1,3.16228,3,11,10,0,10,0,0
5.37818,2.83968,2.1142,75,1,255,103,155,1,2.23607,2,11,11,0,11,0,0
5.37818,2.83968,2.1142,75,0,255,103,155,1,1.41421,1,11,12,0,12,0,0
2.51045,1.91971,2.88225,115,0,255,116,219,1,1,0,11,13,0,13,0,0
4.3841,2.94669,3.19996,54,0,255,140,39,1,1.41421,1,11,14,0,14,0,0
4.3841,2.94669,3.19996,54,1,255,140,39,1,2.23607,2,11,15,0,15,0,0
4.3841,2.94669,3.19996,54,2,255,140,39,1,3.16228,2,11,16,0,16,0,0
4.3841,2.94669,3.19996,54,2,255,140,39,1,3,2.23607,11,17,0,17,0,0
4.3841,2.94669,3.19996,54,1,255,140,39,1,2.44949,2,11,18,0,18,0,0
4.3841,2.94669,3.19996,54,0,255,140,39,1,2.23607,1,11,19,0,19,0,0
3.16027,2.24566,2.41929,201,0,49,75,255,1,2.23607,1,11,20,0,20,0,0
3.16027,2.24566,2.41929,201,0,49,75,255,1,2.23607,1,11,21,0,21,0,0
3.76837,1.31425,3.66214,192,0,222,200,255,1,2.44949,1,11,22,0,22,0,0
3.76837,1.31425,3.66214,192,1,222,200,255,1,3,1.41421,11,23,0,23,0,0
3.76837,1.31425,3.66214,192,0,222,200,255,1,4,3,11,24,0,24,0,0
4.14991,2.25438,5.76354,260,0,59,168,255,1,3.60555,3,11,25,0,25,0,0
4.14991,2.25438,5.76354,260,1,59,168,255,1,3.60555,4,11,26,0,26,0,0
4.14991,2.25438,5.76354,260,1.41421,59,168,255,1,4.47214,4,11,27,0,27,0,0
4.14991,2.25438,5.76354,260,3,59,168,255,1,4.58258,3.16228,11,28,0,28,0,0
4.14991,2.25438,5.76354,260,2,59,168,255,1,4.89898,3.16228,11,29,0,29,0,0
3.32961,0.710954,0.676732,203,2,144,102,255,1,3.74166,3,11,30,0,0,1,0
3.32961,0.710954,0.676732,203,1,144,102,255,1,3,2,11,31,0,1,1,0
3.32961,0.710954,0.676732,203,0,144,102,255,1,2.44949,1,11,32,0,2,1,0
4.36533,2.82897,3.34782,23,0,255,176,105,1,2.23607,0,11,33,0,3,1,0
4.78951,2.39478,5.6753,263,0,123,137,255,1,2.44949,1,11,34,0,4,1,0
4.78951,2.39478,5.6753,263,1,123,137,255,1,3.16228,2,11,35,0,5,1,0
4.78951,2.39478,5.6753,263,2,123,137,255,1,3.16228,3,11,36,0,6,1,0
4.78951,2.39478,5.6753,263,1,123,137,255,1,3,2,11,37,0,7,1,0
4.78951,2.39478,5.6753,263,0,123,137,255,1,2.23607,2,11,38,0,8,1,0
5.37818,2.83968,2.1142,75,0,255,103,155,1,2.44949,2.23607,11,39,0,9,1,0
5.37818,2.83968,2.1142,75,1,255,103,155,1,4,2.23607,11,40,0,10,1,0
5.37818,2.83968,2.1142,75,1,255,103,155,1,4,2,11,41,0,11,1,0
5.37818,2.83968,2.1142,75,0,255,103,155,1,1.73205,2,11,42,0,12,1,0
2.51045,1.91971,2.88225,115,0,255,116,219,1,1.41421,1,11,43,0,13,1,0
2.51045,1.91971,2.88225,115,0,255,116,219,1,1.73205,1,11,44,0,14,1,0
4.3841,2.94669,3.19996,54,0,255,140,39,1,3,1,11,45,0,15,1,0
4.3841,2.94669,3.19996,54,1,255,140,39,1,3.16228,1,11,46,0,16,1,0
4.3841,2.94669,3.19996,54,1,255,140,39,1,2.82843,1.41421,11,47,0,17,1,0
4.3841,2.94669,3.19996,54,1,255,140,39,1,2.23607,1,11,48,0,18,1,0
4.3841,2.94669,3.19996,54,0,255,140,39,1,2,0,11,49,0,19,1,0
3.16027,2.24566,2.41929,201,0,49,75,255,1,2,0,11,50,0,20,1,0
3.16027,2.24566,2.41929,201,0,49,75,255,1,2,0,11,51,0,21,1,0
3.76837,1.31425,3.66214,192,0,222,200,255,1,2.23607,0,11,52,0,22,1,0
3.76837,1.31425,3.66214,192,1,222,200,255,1,2.82843,1,11,53,0,23,1,0
3.76837,1.31425,3.66214,192,0,222,200,255,1,3,2,11,54,0,24,1,0
4.14991,2.25438,5.76354,260,0,59,168,255,1,2.82843,2,11,55,0,25,1,0
4.14991,2.25438,5.76354,260,1,59,168,255,1,2.82843,3,11,56,0,26,1,0
4.14991,2.25438,5.76354,260,1.41421,59,168,255,1,4.12311,3,11,57,0,27,1,0
4.14991,2.25438,5.76354,260,1.41421,59,168,255,1,4.24264,3,11,58,0,28,1,0
4.14991,2.25438,5.76354,260,1,59,168,255,1,4.58258,3,11,59,0,29,1,0
3.32961,0.710954,0.676732,203,2,144,102,255,1,3.31662,2.23607,11,60,0,0,2,0
3.32961,0.710954,0.676732,203,1,144,102,255,1,2.44949,2,11,61,0,1,2,0
3.32961,0.710954,0.676732,203,0,144,102,255,1,1.73205,1,11,62,0,2,2,0
4.36533,2.82897,3.34782,23,0,255,176,105,1,1.41421,0,11,63,0,3,2,0
4.78951,2.39478,5.6753,263,0,123,137,255,1,1.73205,1,11,64,0,4,2,0
4.78951,2.39478,5.6753,263,1,123,137,255,1,2.23607,2,11,65,0,5,2,0
4.78951,2.39478,5.6753,263,1.41421,123,137,255,1,2.23607,2,11,66,0,6,2,0
4.78951,2.39478,5.6753,263,1,123,137,255,1,2,1,11,67,0,7,2,0
4.78951,2.39478,5.6753,263,0,123,137,255,1,2,2,11,68,0,8,2,0
5.37818,2.83968,2.1142,75,0,255,103,155,1,2.23607,2.23607,11,69,0,9,2,0
5.37818,2.83968,2.1142,75,1,255,103,155,1,4,1.41421,11,70,0,10,2,0
5.37818,2.83968,2.1142,75,0,255,103,155,1,4,1,11,71,0,11,2,0
2.51045,1.91971,2.88225,115,0,255,116,219,1,2.44949,1.41421,11,72,0,12,2,0
2.51045,1.91971,2.88225,115,1,255,116,219,1,2.23607,1.41421,11,73,0,13,2,0
2.51045,1.91971,2.88225,115,1,255,116,219,1,3.16228,1,11,74,0,14,2,0
2.51045,1.91971,2.88225,115,0,255,116,219,1,3,0,11,75,0,15,2,0
4.3841,2.94669,3.19996,54,0,255,140,39,1,3,0,11,76,0,16,2,0
4.3841,2.94669,3.19996,54,0,255,140,39,1,4,1,11,77,0,17,2,0
4.3841,2.94669,3.19996,54,0,255,140,39,1,3,0,11,78,0,18,2,0
4.0893,2.36013,5.29642,281,0,102,149,255,1,2,1,11,79,0,19,2,0
4.0893,2.36013,5.29642,281,0,102,149,255,1,2.23607,1,11,80,0,20,2,0
4.0893,2.36013,5.29642,281,0,102,149,255,1,2,1,11,81,0,21,2,0
4.0893,2.36013,5.29642,281,0,102,149,255,1,2.23607,1,11,82,0,22,2,0
3.76837,1.31425,3.66214,192,0,222,200,255,1,2.23607,2,11,83,0,23,2,0
3.76837,1.31425,3.66214,192,0,222,200,255,1,2,1,11,84,0,24,2,0
4.14991,2.25438,5.76354,260,0,59,168,255,1,2.23607,1,11,85,0,25,2,0
4.14991,2.25438,5.76354,260,1,59,168,255,1,2.23607,2,11,86,0,26,2,0
4.14991,2.25438,5.76354,260,1,59,168,255,1,4,2,11,87,0,27,2,0
4.14991,2.25438,5.76354,260,1,59,168,255,1,4.12311,2.23607,11,88,0,28,2,0
4.14991,2.25438,5.76354,260,0,59,168,255,1,4.47214,3.16228,11,89,0,29,2,0
3.32961,0.710954,0.676732,203,1,144,102,255,1,3.16228,1.41421,11,90,0,0,3,0
3.32961,0.710954,0.676732,203,1,144,102,255,1,2.23607,1.41421,11,91,0,1,3,0
3.32961,0.710954,0.676732,203,0,144,102,255,1,1.41421,1,11,92,0,2,3,0
4.36533,2.82897,3.34782,23,0,255,176,105,1,1,0,11,93,0,3,3,0
4.78951,2.39478,5.6753,263,0,123,137,255,1,1.41421,1,11,94,0,4,3,0
4.78951,2.39478,5.6753,263,1,123,137,255,1,1.41421,1.41421,11,95,0,5,3,0
4.78951,2.39478,5.6753,263,1,123,137,255,1,1.41421,1,11,96,0,6,3,0
4.78951,2.39478,5.6753,263,0,123,137,255,1,1,0,11,97,0,7,3,0
5.37818,2.83968,2.1142,75,0,255,103,155,1,1.41421,1,11,98,0,8,3,0
5.37818,2.83968,2.1142,75,1,255,103,155,1,1.41421,1.41421,11,99,0,9,3,0
5.37818,2.83968,2.1142,75,0,255,103,155,1,3,1,11,100,0,10,3,0
5.37818,2.83968,2.1142,75,0,255,103,155,1,3,0,11,101,0,11,3,0
2.51045,1.91971,2.88225,115,0,255,116,219,1,3.16228,1,11,102,0,12,3,0
2.51045,1.91971,2.88225,115,1,255,116,219,1,3,2,11,103,0,13,3,0
2.51045,1.91971,2.88225,115,0,255,116,219,1,3.16228,1.41421,11,104,0,14,3,0
0.483433,2.73514,2.96605,389,0,255,230,123,1,4,1,11,105,0,15,3,0
0.483433,2.73514,2.96605,389,0,255,230,123,1,3.16228,1,11,106,0,16,3,0
0.483433,2.73514,2.96605,389,0,255,230,123,1,4.12311,1,11,107,0,17,3,0
0.483433,2.73514,2.96605,389,0,255,230,123,1,3.16228,0,11,108,0,18,3,0
4.0893,2.36013,5.29642,281,0,102,149,255,1,2.23607,1,11,109,0,19,3,0
4.0893,2.36013,5.29642,281,1,102,149,255,1,2,1,11,110,0,20,3,0
4.0893,2.36013,5.29642,281,1,102,149,255,1,2.23607,1.41421,11,111,0,21,3,0
4.0893,2.36013,5.29642,281,1,102,149,255,1,2.23607,2,11,112,0,22,3,0
4.0893,2.36013,5.29642,281,0,102,149,255,1,1.41421,1,11,113,0,23,3,0
3.76837,1.31425,3.66214,192,0,222,200,255,1,1,0,11,114,0,24,3,0
4.14991,2.25438,5.76354,260,0,59,168,255,1,2,0,11,115,0,25,3,0
4.14991,2.25438,5.76354,260,0,59,168,255,1,2,1,11,116,0,26,3,0
4.14991,2.25438,5.76354,260,0,59,168,255,1,2.23607,1,11,117,0,27,3,0
4.14991,2.25438,5.76354,260,0,59,168,255,1,2.82843,1.41421,11,118,0,28,3,0
3.14515,1.43247,2.97567,185,0,255,46,133,1,3.60555,2.23607,11,119,0,29,3,0
